日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2019-12-12,84.85,84.651,84.85,84.6,50092,501922944.0,0.29,-0.42,-0.353,44.78
2019-12-13,84.65,84.68,84.68,84.65,13,134274.0,0.04,0.03,0.029,0.01
2019-12-16,84.55,84.66,84.67,84.55,10,103210.0,0.14,-0.02,-0.02,0.01
2019-12-17,84.53,84.66,84.66,84.53,9,89186.0,0.15,0.0,0.0,0.01
2019-12-18,84.65,84.68,84.681,84.65,5,47107.0,0.04,0.02,0.02,0.0
2019-12-19,84.65,84.68,84.68,84.65,23,230528.0,0.04,0.0,0.0,0.02
2019-12-20,84.66,84.9,84.9,84.66,25,254099.0,0.28,0.26,0.22,0.02
2019-12-23,84.85,84.901,84.901,84.85,21,213957.0,0.06,0.0,0.001,0.02
2019-12-24,84.86,84.862,84.862,84.86,4,37152.0,0.0,-0.05,-0.039,0.0
2019-12-25,84.862,84.95,85.0,84.861,20446,205480755.0,0.16,0.1,0.088,18.28
2019-12-26,84.9,84.95,84.95,84.9,1,9044.0,0.06,0.0,0.0,0.0
2019-12-27,85.0,85.001,85.1,85.0,22,219398.0,0.12,0.06,0.051,0.02
2019-12-30,85.001,85.092,85.1,85.001,25,248578.0,0.12,0.11,0.091,0.02
2019-12-31,85.08,84.957,85.1,84.95,31,306838.0,0.18,-0.16,-0.135,0.03
2020-01-02,84.956,84.84,85.11,84.84,1162,11666556.0,0.32,-0.14,-0.117,1.04
2020-01-03,84.84,84.805,85.15,84.8,903,9059185.0,0.41,-0.04,-0.035,0.81
2020-01-06,84.85,84.95,85.15,84.85,607,6099031.0,0.35,0.17,0.145,0.54
2020-01-07,84.851,84.802,84.852,84.78,681,6831612.0,0.08,-0.17,-0.148,0.61
2020-01-08,84.85,84.94,85.043,84.74,1225,12296769.0,0.36,0.16,0.138,1.1
2020-01-09,84.94,85.25,85.25,84.94,61,608677.0,0.36,0.36,0.31,0.05
2020-01-10,84.908,85.05,85.05,84.908,22,216286.0,0.17,-0.23,-0.2,0.02
2020-01-13,85.15,85.175,85.35,85.05,51128,514965888.0,0.35,0.15,0.125,45.71
2020-01-14,85.033,85.25,85.3,85.033,72,721969.0,0.31,0.09,0.075,0.06
2020-01-15,85.25,85.255,85.255,85.25,15,149189.0,0.01,0.01,0.005,0.01
2020-01-16,85.428,85.3,85.428,85.3,21,208761.0,0.15,0.05,0.045,0.02
2020-01-17,85.2,85.346,85.449,85.2,21,207845.0,0.29,0.05,0.046,0.02
2020-01-20,85.461,85.635,85.7,85.461,501,5066546.0,0.28,0.34,0.289,0.45
2020-01-21,85.519,85.569,85.569,85.519,20,205172.0,0.06,-0.08,-0.066,0.02
2020-01-22,85.458,85.657,85.658,85.458,21,208480.0,0.23,0.1,0.088,0.02
2020-01-23,85.85,85.899,85.9,85.85,72,732319.0,0.06,0.28,0.242,0.06
2020-02-03,87.0,86.75,87.0,86.7,41,417145.0,0.35,0.99,0.851,0.04
2020-02-04,86.7,86.7,86.7,86.7,11,115543.0,0.0,-0.06,-0.05,0.01
2020-02-06,86.26,86.25,86.26,86.25,84,851098.0,0.01,-0.52,-0.45,0.07
2020-02-07,86.25,86.6,86.6,86.25,19,198160.0,0.41,0.41,0.35,0.02
2020-02-10,86.6,86.6,86.68,86.6,2,18395.0,0.09,0.0,0.0,0.0
2020-02-11,86.45,86.606,86.9,86.45,4,38904.0,0.52,0.01,0.006,0.0
2020-02-12,86.765,86.816,86.95,86.761,11,108641.0,0.22,0.24,0.21,0.01
2020-02-13,86.75,86.77,86.8,86.75,1,8186.0,0.06,-0.05,-0.046,0.0
2020-02-14,86.57,86.75,86.75,86.57,0,2044.0,0.21,-0.02,-0.02,0.0
2020-02-17,86.751,86.885,86.898,86.75,22,225075.0,0.17,0.16,0.135,0.02
2020-02-18,86.85,86.851,86.852,86.85,62,630794.0,0.0,-0.04,-0.034,0.06
2020-02-19,86.851,86.852,86.852,86.851,51,522250.0,0.0,0.0,0.001,0.05
2020-02-20,86.852,86.831,86.86,86.83,51,524338.0,0.03,-0.02,-0.021,0.05
2020-02-21,86.761,86.85,86.85,86.76,55,560091.0,0.1,0.02,0.019,0.05
2020-02-24,86.82,86.85,86.85,86.82,32,329637.0,0.03,0.0,0.0,0.03
2020-02-25,86.85,86.805,86.85,86.805,15,153582.0,0.05,-0.05,-0.045,0.01
2020-02-26,86.763,86.85,86.85,86.753,100,1027224.0,0.11,0.05,0.045,0.09
2020-02-27,86.82,86.82,86.82,86.8,114,1166818.0,0.02,-0.03,-0.03,0.1
2020-02-28,86.82,86.76,86.82,86.76,52,532312.0,0.07,-0.07,-0.06,0.05
2020-03-02,87.58,86.94,87.58,86.94,143,1470934.0,0.74,0.21,0.18,0.13
2020-03-03,86.804,86.67,86.804,86.65,2335,23875095.0,0.18,-0.31,-0.27,2.09
2020-03-04,86.777,86.727,86.85,86.717,2114,21551430.0,0.15,0.07,0.057,1.89
2020-03-05,86.7,86.726,86.9,86.7,1864,18999410.0,0.23,0.0,-0.001,1.67
2020-03-06,86.72,86.7,86.75,86.65,1723,17559130.0,0.12,-0.03,-0.026,1.54
2020-03-09,86.9,86.9,87.0,86.671,2505,25562553.0,0.38,0.23,0.2,2.24
2020-03-10,86.7,86.768,86.8,86.7,145,1473539.0,0.12,-0.15,-0.132,0.13
2020-03-11,86.9,86.9,86.9,86.9,52,535004.0,0.0,0.15,0.132,0.05
2020-03-12,86.9,87.066,87.135,86.9,65,665471.0,0.27,0.19,0.166,0.06
2020-03-13,87.0,87.085,87.25,87.0,58,595263.0,0.29,0.02,0.019,0.05
2020-03-16,87.0,87.3,87.3,87.0,82,843308.0,0.34,0.25,0.215,0.07
2020-03-17,87.14,87.12,87.14,87.057,123,1258146.0,0.1,-0.21,-0.18,0.11
2020-03-18,87.12,87.14,87.14,87.12,50,512723.0,0.02,0.02,0.02,0.04
2020-03-19,87.2,87.15,87.2,87.15,109,1115625.0,0.06,0.01,0.01,0.1
2020-03-20,87.1,87.17,87.17,87.1,55,564031.0,0.08,0.02,0.02,0.05
2020-03-23,87.3,87.34,87.38,87.3,81,826352.0,0.09,0.2,0.17,0.07
2020-03-24,87.38,87.38,87.38,87.27,51,523048.0,0.13,0.05,0.04,0.05
2020-03-25,87.38,87.4,87.4,87.35,2207,22640313.0,0.06,0.02,0.02,1.97
2020-03-26,87.4,87.45,87.45,87.38,2650,27186936.0,0.08,0.06,0.05,2.37
2020-03-27,87.45,87.4,87.45,87.4,59,605590.0,0.06,-0.06,-0.05,0.05
2020-03-30,87.5,87.42,87.5,87.3,2242,23008286.0,0.23,0.02,0.02,2.0
2020-03-31,87.44,87.45,87.45,87.41,50,517348.0,0.05,0.03,0.03,0.05
2020-04-01,87.591,87.7,87.7,87.591,4936,50775347.0,0.12,0.29,0.25,4.41
2020-04-02,87.836,87.9,87.9,87.799,114,1174586.0,0.12,0.23,0.2,0.1
2020-04-03,87.9,87.8,87.9,87.8,52,535620.0,0.11,-0.11,-0.1,0.05
2020-04-07,88.0,88.39,88.39,88.0,19274,199100806.0,0.44,0.67,0.59,17.23
2020-04-08,88.4,88.45,88.45,88.301,156,1619559.0,0.17,0.07,0.06,0.14
2020-04-09,88.612,88.6,88.65,88.599,750,7789093.0,0.06,0.17,0.15,0.67
2020-04-10,88.75,88.7,88.86,88.7,1023,10631393.0,0.18,0.11,0.1,0.91
2020-04-13,88.75,88.77,88.77,88.75,50,520890.0,0.02,0.08,0.07,0.04
2020-04-14,88.87,88.85,88.9,88.85,1778,18505694.0,0.06,0.09,0.08,1.59
2020-04-15,88.85,89.401,89.401,88.85,590,6153374.0,0.62,0.62,0.551,0.53
2020-04-16,89.15,89.35,89.35,88.95,170,1776689.0,0.45,-0.06,-0.051,0.15
2020-04-17,89.35,89.25,89.35,89.25,21,220510.0,0.11,-0.11,-0.1,0.02
2020-04-20,89.25,89.2,89.25,89.2,52,544973.0,0.06,-0.06,-0.05,0.05
2020-04-21,89.2,89.2,89.2,89.0,1669,17424218.0,0.22,0.0,0.0,1.49
2020-04-22,89.2,89.468,89.499,89.151,6122,63953157.0,0.39,0.3,0.268,5.47
2020-04-23,89.499,89.75,89.9,89.499,2060,21602350.0,0.45,0.32,0.282,1.84
2020-04-24,89.8,89.64,89.8,89.3,6310,66150258.0,0.56,-0.12,-0.11,5.64
2020-04-27,89.6,89.732,89.745,89.6,1783,18699900.0,0.16,0.1,0.092,1.59
2020-04-28,89.799,89.734,89.8,89.724,881,9249891.0,0.08,0.0,0.002,0.79
2020-04-29,89.7,89.797,89.799,89.7,115,1208165.0,0.11,0.07,0.063,0.1
2020-04-30,89.741,89.788,89.79,89.703,1117,11722684.0,0.1,-0.01,-0.009,1.0
2020-05-06,89.7,89.725,89.92,89.7,1110,11655371.0,0.25,-0.07,-0.063,0.99
