日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-11-21,0.985,0.97,0.993,0.966,648071,63798226.0,2.71,-2.61,-0.026,16.8
2025-11-24,0.977,0.975,0.99,0.967,171051,16750153.0,2.37,0.52,0.005,4.44
2025-11-25,0.975,0.978,0.985,0.971,204448,20007391.0,1.44,0.31,0.003,5.3
2025-11-26,0.978,0.978,0.988,0.977,146837,14451040.0,1.12,0.0,0.0,3.81
2025-11-27,0.977,0.978,0.987,0.977,170166,16724292.0,1.02,0.0,0.0,4.41
2025-11-28,0.98,0.99,0.99,0.976,178889,17629689.0,1.43,1.23,0.012,4.64
2025-12-01,0.99,0.984,0.999,0.983,122397,12138280.0,1.62,-0.61,-0.006,3.17
2025-12-02,0.981,0.979,0.983,0.977,52253,5114807.0,0.61,-0.51,-0.005,1.35
2025-12-03,0.981,0.983,0.987,0.979,43612,4290979.0,0.82,0.41,0.004,1.13
2025-12-04,0.982,0.976,0.986,0.976,66897,6549139.0,1.02,-0.71,-0.007,1.73
2025-12-05,0.976,0.988,0.989,0.976,106647,10497070.0,1.33,1.23,0.012,2.77
2025-12-08,0.987,0.99,0.99,0.985,47847,4727667.0,0.51,0.2,0.002,1.24
2025-12-09,0.988,0.974,0.988,0.972,40558,3969399.0,1.62,-1.62,-0.016,1.05
2025-12-10,0.973,0.985,0.986,0.972,47874,4700014.0,1.44,1.13,0.011,1.24
2025-12-11,0.986,0.976,0.986,0.976,36330,3558551.0,1.02,-0.91,-0.009,0.94
2025-12-12,0.979,0.983,0.985,0.976,85199,8371028.0,0.92,0.72,0.007,2.21
2025-12-15,0.982,0.992,1.001,0.982,216571,21578632.0,1.93,0.92,0.009,5.62
2025-12-16,0.993,0.987,0.997,0.984,29302,2894029.0,1.31,-0.5,-0.005,0.76
2025-12-17,0.992,0.994,0.996,0.985,43031,4271735.0,1.11,0.71,0.007,1.12
2025-12-18,0.995,0.991,0.998,0.991,34859,3470848.0,0.7,-0.3,-0.003,0.9
2025-12-19,0.987,1.005,1.008,0.986,550515,55258404.0,2.22,1.41,0.014,14.27
