日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-11-17,0.982,0.972,0.993,0.97,800111,78135823.0,2.35,-0.82,-0.008,4.17
2025-11-18,0.971,0.957,0.971,0.954,1397635,134095088.0,1.75,-1.54,-0.015,7.28
2025-11-19,0.957,0.95,0.966,0.946,1208587,114994799.0,2.09,-0.73,-0.007,6.3
2025-11-20,0.957,0.937,0.965,0.936,1235436,116330888.0,3.05,-1.37,-0.013,6.44
2025-11-21,0.938,0.921,0.938,0.91,938855,86534732.0,2.99,-1.71,-0.016,4.89
2025-11-24,0.922,0.938,0.944,0.918,1427287,134013567.0,2.82,1.85,0.017,7.44
2025-11-25,0.949,0.942,0.959,0.94,439385,41617984.0,2.03,0.43,0.004,2.29
2025-11-26,0.948,0.951,0.956,0.948,1144032,109024195.0,0.85,0.96,0.009,5.96
2025-11-27,0.951,0.943,0.959,0.943,363615,34567541.0,1.68,-0.84,-0.008,1.89
2025-11-28,0.946,0.946,0.949,0.941,976023,92313625.0,0.85,0.32,0.003,5.09
2025-12-01,0.946,0.949,0.955,0.942,427040,40559854.0,1.37,0.32,0.003,2.23
2025-12-02,0.954,0.948,0.957,0.943,1376548,130357450.0,1.48,-0.11,-0.001,7.17
2025-12-03,0.946,0.933,0.947,0.931,667832,62303597.0,1.69,-1.58,-0.015,3.48
2025-12-04,0.934,0.943,0.944,0.927,587737,55156553.0,1.82,1.07,0.01,3.06
2025-12-05,0.94,0.956,0.956,0.935,1157615,109777450.0,2.23,1.38,0.013,6.03
2025-12-08,0.956,0.956,0.963,0.952,298744,28530353.0,1.15,0.0,0.0,1.56
2025-12-09,0.954,0.937,0.955,0.935,217327,20474175.0,2.09,-1.99,-0.019,1.13
2025-12-10,0.937,0.94,0.941,0.927,1836326,171500830.0,1.49,0.32,0.003,9.57
2025-12-11,0.944,0.931,0.946,0.929,1543324,144220552.0,1.81,-0.96,-0.009,8.04
2025-12-12,0.936,0.948,0.95,0.934,709325,67031542.0,1.72,1.83,0.017,3.7
2025-12-15,0.945,0.927,0.945,0.926,1347611,125250489.0,2.0,-2.22,-0.021,7.02
2025-12-16,0.926,0.906,0.926,0.899,1408139,127230484.0,2.91,-2.27,-0.021,7.34
2025-12-17,0.906,0.914,0.919,0.904,1381315,125677030.0,1.66,0.88,0.008,7.2
2025-12-18,0.908,0.903,0.91,0.901,1060788,96036994.0,0.98,-1.2,-0.011,5.53
2025-12-19,0.912,0.921,0.924,0.912,529420,48643295.0,1.33,1.99,0.018,2.76
2025-12-22,0.928,0.925,0.931,0.924,2252233,208768175.0,0.76,0.43,0.004,11.74
2025-12-23,0.933,0.919,0.933,0.917,1086628,100055292.0,1.73,-0.65,-0.006,5.66
2025-12-24,0.918,0.92,0.927,0.918,700968,64687618.0,0.98,0.11,0.001,3.65
