日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-11-27,1.008,1.008,1.016,1.001,3418228,345046778.853,1.47,-0.88,-0.009,67.37
2025-11-28,1.011,1.002,1.014,0.999,375769,37748930.852,1.49,-0.6,-0.006,7.41
2025-12-01,1.002,1.003,1.004,0.995,324189,32401138.351,0.9,0.1,0.001,6.39
2025-12-02,1.003,0.99,1.003,0.987,146963,14578823.095,1.6,-1.3,-0.013,2.9
2025-12-03,0.99,0.975,0.992,0.968,185308,18117710.589,2.42,-1.52,-0.015,3.65
2025-12-04,0.976,0.994,0.994,0.976,149275,14718037.1,1.85,1.95,0.019,2.94
2025-12-05,0.995,0.994,1.0,0.986,114653,11377846.533,1.41,0.0,0.0,2.26
2025-12-08,0.998,0.984,1.0,0.979,162463,16039458.274,2.11,-1.01,-0.01,3.2
2025-12-09,0.982,0.97,0.993,0.968,120943,11872126.907,2.54,-1.42,-0.014,2.38
2025-12-10,0.97,0.969,0.971,0.959,238251,22988727.59,1.24,-0.1,-0.001,4.7
2025-12-11,0.971,0.967,0.982,0.961,220348,21415677.602,2.17,-0.21,-0.002,4.34
2025-12-12,0.968,0.971,0.974,0.96,172021,16622917.372,1.45,0.41,0.004,3.39
2025-12-15,0.972,0.94,0.972,0.939,165389,15701329.885,3.4,-3.19,-0.031,3.26
2025-12-16,0.94,0.921,0.942,0.912,258376,23818723.559,3.19,-2.02,-0.019,5.09
2025-12-17,0.927,0.931,0.933,0.92,80973,7505849.379,1.41,1.09,0.01,1.6
2025-12-18,0.929,0.935,0.941,0.923,110286,10323473.519,1.93,0.43,0.004,2.17
2025-12-19,0.936,0.953,0.965,0.936,145003,13864758.864,3.1,1.93,0.018,2.86
2025-12-22,0.96,0.943,0.96,0.942,65210,6177517.345,1.89,-1.05,-0.01,1.29
